Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3522109;Interior;Itanhaém;1839;88;;
3522158;Interior;Itaoca;38;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;2985;180;;
3522307;Interior;Itapetininga;2857;67;;
3522406;Interior;Itapeva;1130;22;;
3522505;RMSP (exceto capital);Itapevi;3724;245;;
3522604;Interior;Itapira;2044;50;;
3522653;Interior;Itapirapuã Paulista;69;1;;
3522703;Interior;Itápolis;619;12;;
3522802;Interior;Itaporanga;254;7;;
3522901;Interior;Itapuí;389;5;;
3523008;Interior;Itapura;86;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;4941;322;;
3523206;Interior;Itararé;723;26;;
3523305;Interior;Itariri;459;10;;
3523404;Interior;Itatiba;2258;32;;
3523503;Interior;Itatinga;347;7;;
3523602;Interior;Itirapina;400;8;;
3523701;Interior;Itirapuã;53;1;;
3523800;Interior;Itobi;448;6;;
3523909;Interior;Itu;4105;113;;
3524006;Interior;Itupeva;2087;36;;
3524105;Interior;Ituverava;660;31;;
3524204;Interior;Jaborandi;153;3;;
3524303;Interior;Jaboticabal;909;51;;
3524402;Interior;Jacareí;4389;164;;
3524501;Interior;Jaci;370;6;;
3524600;Interior;Jacupiranga;543;18;;
3524709;Interior;Jaguariúna;1344;31;;
3524808;Interior;Jales;2200;64;;
3524907;Interior;Jambeiro;93;5;;
3525003;RMSP (exceto capital);Jandira;1965;106;;
3525102;Interior;Jardinópolis;1015;53;;
3525201;Interior;Jarinu;506;24;;
3525300;Interior;Jaú;3715;81;;
3525409;Interior;Jeriquara;71;0;;
3525508;Interior;Joanópolis;161;3;;
3525607;Interior;João Ramalho;127;3;;
3525706;Interior;José Bonifácio;1407;23;;
3525805;Interior;Júlio Mesquita;35;2;;
3525854;Interior;Jumirim;94;1;;
3525904;Interior;Jundiaí;15121;441;;
3526001;Interior;Junqueirópolis;255;8;;
3526100;Interior;Juquiá;475;12;;
3526209;RMSP (exceto capital);Juquitiba;1134;16;;
3526308;Interior;Lagoinha;75;1;;
3526407;Interior;Laranjal Paulista;974;7;;
3526506;Interior;Lavínia;431;2;;
3526605;Interior;Lavrinhas;68;1;;
3526704;Interior;Leme;3076;80;;
3526803;Interior;Lençóis Paulista;3224;52;;
3526902;Interior;Limeira;10395;282;;
3527009;Interior;Lindóia;109;3;;
3527108;Interior;Lins;3136;48;;
3527207;Interior;Lorena;1258;33;;
3527256;Interior;Lourdes;67;1;;
3527306;Interior;Louveira;1054;26;;
